Yext ID,Name,National Provider Identifier (NPI),Categories 1,Categories 2,Categories 3,Categories 4,Categories 5,Categories 6,Categories 7,Categories 8,Categories 9,Categories 10,Categories 11,Address > Line 1,Address > Line 2,Address > Sublocality,Address > City,Address > Region,Address > Postal Code,Address > Extra Description,Main Phone > ISO Country Code,Main Phone > Phone Number,Featured Message > Description,Featured Message > URL,Entity ID
10806106,Conviva Care Center Flagler,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Surgery,Gynecology,Neurology,Nutritionist,Ophthalmology,Optometry,2600 West Flagler Street,,,Miami,FL,33135,,US,3056310660,A Primary Care Team Built For Speed,https://www.continucare.com/,380
10806107,Conviva Care Center Hallandale,,Cardiology,,,,,,,,,,,2500 East Hallandale Beach Blvd,Suite QR,,Hallandale Beach,FL,33009,,US,9544565533,A Primary Care Team Built For Speed,https://www.continucare.com/,381
10806108,Conviva Care Center Hialeah,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Nutritionist,Endocrinology,Surgery,Gynecology,Neurology,Ophthalmology,3233 Palm Avenue,,,Hialeah,FL,33012,,US,3058260660,A Primary Care Team Built For Speed,https://www.continucare.com/,382
10806109,Conviva Care Center Krome,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Surgery,Neurology,Nutritionist,Pediatrician,Podiatry,,442 Washington Ave.,,,Homestead,FL,33030,,US,3052450200,A Primary Care Team Built For Speed,https://www.continucare.com/,383
10806110,Conviva Care Center Mills Drive,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Nutritionist,Gynecology,Neurology,Ophthalmology,Optometry,Podiatry,11701 Mills Drive,,,Miami,FL,33183,,US,3052702700,A Primary Care Team Built For Speed,https://www.continucare.com/,384
10806111,Conviva Care Center Coral Gate,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,5643 NW 29th Street,,,Margate,FL,33063,,US,9549796900,A Primary Care Team Built For Speed,https://www.continucare.com/,386
10806112,Conviva Care Center Pembroke-N. University,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,460 N University Drive,,,Pembroke Pines,FL,33024,,US,9544374004,Helping You Live Your Best Life,https://www.convivacarecenters.com/,387
10806113,Conviva Care Center Plant City,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,228 West Alexander St,,,Plant City,FL,33563,,US,8137545480,A Primary Care Team Built For Speed,https://www.continucare.com/,389
10806114,Conviva Care Center Perrine,,Nutritionist,,,,,,,,,,,18853 SW 117th Avenue,,,Miami,FL,33177,,US,3052381111,A Primary Care Team Built For Speed,https://www.continucare.com/,388
10806115,Conviva Care Center Plantation,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,6971 W Sunrise Blvd.,Suite 201,,Plantation,FL,33313,,US,9543217700,A Primary Care Team Built For Speed,https://www.continucare.com/,390
10806116,Conviva Care Center Land O’ Lakes,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,21507 Village Lakes Shopping Center Dr.,,,Land O Lakes,FL,34639,,US,8139494224,A Primary Care Team Built For Speed,https://www.continucare.com/,385
10806117,Conviva Care Center South Tampa,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,200 S. MacDill Ave.,Suite 100,,Tampa,FL,33609,,US,8138372814,A Primary Care Team Built For Speed,https://www.continucare.com/,391
10806118,Conviva Care Center Stirling,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Nutritionist,,,,,,3100 Stirling Road,Suite A,,Hollywood,FL,33021,,US,9549629811,A Primary Care Team Built For Speed,https://www.continucare.com/,392
10806119,Conviva Care Center Sunrise Lakes,,Gastroenterology,,,,,,,,,,,2900 North University Drive,,,Sunrise,FL,33322,,US,9547488200,A Primary Care Team Built For Speed,https://www.continucare.com/,393
10806120,Conviva Care Center Star Centre,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7101 W McNad Rd,Suite 101,,Tamarac,FL,33321,,US,9547225600,A Primary Care Team Built For Speed,https://www.continucare.com/,394
10806121,Conviva Care Center Westchester,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Surgery,Gynecology,Neurology,Nutritionist,Ophthalmology,Optometry,8608 Bird Road,,,Miami,FL,33155,,US,3055513200,A Primary Care Team Built For Speed,https://www.continucare.com/,395
10806122,Conviva Care Center Atlantis,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,192 JFK Drive,,,Atlantis,FL,33462,,US,5619643003,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,396
10806123,Conviva Care Center Aventura,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,21150 Biscayne Blvd,Suite 302,,Aventura,FL,33180,,US,3059310504,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,397
10806124,Conviva Care Center Bayside,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4254 South Alameda Street Corpus Christi,,,Corpus Christi,TX,78412,,US,3618534191,Helping You Live Your Best Life,,398
10806125,Conviva Care Center Beach Blvd,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Nephrology,Podiatry,Pulmonology,Social Work,,,11744 Beach Blvd,Suite 107,,Jacksonville,FL,32246,,US,9042652050,Helping You Live Your Best Life,,399
10806126,Conviva Care Center South Miami,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Mental Health Clinic,Cardiology,Endocrinology,Gynecology,Neurology,Nutritionist,Orthopedics,9740 SW 40th Street,,,Miami,FL,33165,,US,3052275300,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,400
10806127,Conviva Care Center West Boca Raton,,Dermatology,Gynecology,,,,,,,,,,9030 Kimberly Blvd.,,,Boca Raton,FL,33434,,US,5614882300,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,401
10806128,Conviva Care Center Central Corpus,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,917 South Port Ave,,,Corpus Christi,TX,78405,,US,3618870584,Helping You Live Your Best Life,,403
10806129,Conviva Care Center Cliffside,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1211B East Cliff Drive,,,El Paso,TX,79902,,US,9155916226,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,404
10806130,Conviva Care Center Callahan,,Cardiology,Social Work,,,,,,,,,,449621 US Hwy 301,Suite 110,,Callahan,FL,32011,,US,9045072692,Helping You Live Your Best Life,,402
10806131,Conviva Care Center Coconut Creek,,Endocrinology,,,,,,,,,,,1301 Lyons Road,,,Coconut Creek,FL,33063,,US,9549712266,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,405
10806132,Conviva Care Center Congress,,Dermatology,Podiatry,,,,,,,,,,1651 South Congress Ave,,,West Palm Beach,FL,33406,,US,5619661000,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,406
10806133,Conviva Care Center Delray Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Dermatology,Gynecology,Mental Health Clinic,Psychology,,,,5317 W Atlantic Ave,Suite 104,,Delray Beach,FL,33484,,US,5614966000,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,408
10806134,Conviva Care Center De Leon,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,9727 Poteet Jourdanton Fwy,Suite 108,,San Antonio,TX,78211,,US,2109234372,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,407
10806135,Conviva Care Center Dixie,,Podiatry,,,,,,,,,,,6215 S Dixie Highway,,,West Palm Beach,FL,33405,,US,5615821201,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,409
10806136,Conviva Care Center Dunn Ave,,Nephrology,Social Work,,,,,,,,,,1028 Dunn Ave,,,Jacksonville,FL,32218,,US,9047667606,Helping You Live Your Best Life,,410
10806137,Conviva Care Center Greenacres,,Podiatry,,,,,,,,,,,6766 Forest Hill Blvd.,,,Greenacres,FL,33413,,US,5619660015,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,415
10806138,Conviva Care Center West Palm Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1411 N Flagler Drive,Suite 6800,,West Palm Beach,FL,33401,,US,5618320183,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,412
10806139,Conviva Care Center Eighth Street,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Mental Health Clinic,Cardiology,Dermatology,Endocrinology,Otolaryngology,Surgery,Gynecology,3099 SW 8 Street,,,Miami,FL,33135,,US,3056443100,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,411
10806140,Conviva Care Center Gateway,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Surgery,Nephrology,Podiatry,Pulmonology,Social Work,,,5238-16 Norwood Ave,,,Jacksonville,FL,32208,,US,9048611222,Helping You Live Your Best Life,,414
10806141,Conviva Care Center Fort Lauderdale,,Endocrinology,,,,,,,,,,,6221 North Federal Highway,,,Fort Lauderdlae,FL,33308,,US,9544911686,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,413
10806142,Conviva Care Center Guadalupe,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1314 Guadalupe Street,Suite 105 San Antonio,,San Antonio,TX,78207,,US,2102254810,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,416
10806143,Conviva Care Center Hallandale Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1460 E. Hallandale Beach Blvd,,,Hallandale Beach,FL,33009,,US,9544552385,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,417
10806144,Conviva Care Center Palm Springs,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Pediatrician,Mental Health Clinic,Cardiology,Dermatology,Endocrinology,Otolaryngology,Gastroenterology,440 West 49 Street,,,Hialeah,FL,33012,,US,3058285000,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,418
10806145,Conviva Care Center Hypoluxo,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Dermatology,Nutritionist,Podiatry,,,,,7031 Washington Avenue,,,Lantana,FL,33462,,US,5615852550,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,419
10806146,Conviva Care Center Jupiter Lakes,,Otolaryngology,,,,,,,,,,,210 Jupiter Lakes Blvd,Suite 4104,,Jupiter,FL,33458,,US,5617439077,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,420
10806147,Conviva Care Center Kingspoint,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,7686 Nob Hill Road,,,Tamarac,FL,33321,,US,9545970135,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,421
10806148,Conviva Care Center Lake Worth,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,3731 Lake Worth Rd,,,Lake Worth,FL,33461,,US,5619670234,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,422
10806149,Conviva Care Center Legacy Place,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,18414 US Highway 281 North,Suite 104,,San Antonio,TX,78259,,US,2104950222,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,423
10806150,Conviva Care Center Memorial West,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,601 N. Flamingo Road,Suite 304,,Pembroke Pines,FL,33028,,US,9544333114,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,424
10806151,Conviva Care Center Miami Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Endocrinology,Otolaryngology,Gynecology,Oncology,Ophthalmology,306 Arthur Godfrey Road,,,Miami Beach,FL,33140,,US,3055351500,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,425
10806152,Conviva Care Center Middleburg,,Nephrology,Social Work,,,,,,,,,,1786 Blanding Blvd,Suite 3,,Middleburg,FL,32068,,US,9042828000,Helping You Live Your Best Life,,426
10806153,Conviva Care Center Northwest,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Endocrinology,Gynecology,Neurology,Ophthalmology,Orthopedics,Podiatry,1600 NW 17th Avenue,,,Miami,FL,33125,,US,3056350335,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,428
10806154,Conviva Care Center Normandy,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Nephrology,Podiatry,Social Work,,,,,7200 Normandy Blvd,Suite 20,,Jacksonville,FL,32205,,US,9043788520,Helping You Live Your Best Life,,427
10806155,Conviva Care Center Orange Park,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,20 Blanding Blvd,,,Orange Park,FL,32073,,US,9047738977,Helping You Live Your Best Life,,429
10806156,Conviva Care Center Palm Beach Gardens,,Gynecology,,,,,,,,,,,9121 N. Military Trail,#111,,Palm Beach Gardens,FL,33410,,US,5616267604,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,430
10806157,Conviva Care Center Rockport,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1209 Highway 35 N.,,,Rockport,TX,78382,,US,3617299811,Helping You Live Your Best Life,,431
10806158,Conviva Care Center University,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,25 University Blvd N,,,Jacksonville,FL,32211,,US,9049003667,Helping You Live Your Best Life,,433
10806159,Conviva Care Center South Dade,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Mental Health Clinic,Cardiology,Dermatology,Endocrinology,Gynecology,Neurology,Nutritionist,18469 South Dixie Highway,,,Cutler Bay,FL,33157,,US,7865739400,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,432
10806160,Conviva Care Center Vista Del Sol,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,10435 Vista Del Sol,,,El Paso,TX,79925,,US,9155916229,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,434
10806161,Conviva Care Center West Oakland,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4850 W. Oakland Park Blvd,Suite 148,,Lauderdale Lakes,FL,33313,,US,9547351200,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,435
10806162,Conviva Care Center West Atlantic,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Audiology,Dermatology,,,,,,5350 W Atlantic Ave,Suite 100,,Delray Beach,FL,33484,,US,5614965677,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,436
10806163,Conviva Care Center Okeechobee,,Gynecology,,,,,,,,,,,5849 Okeechobee Blvd.,Suite 301,,West Palm Beach,FL,33417,,US,5616834008,Experience Healthcare Founded by Physicians,https://www.mccigroup.com/,437
10806164,Conviva Care Center Boca Raton,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,2900 North Military Trail,#201,,Boca Raton,FL,33431,,US,5612410025,A Primary Care Team Built Around You,http://www.metcare.com,438
10806165,Conviva Care Center Daytona,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,731 N Clyde Morris Blvd,,,Daytona Beach,FL,32114,,US,3862571626,A Primary Care Team Built Around You,http://www.metcare.com,439
10806166,Conviva Care Center Central Delray,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,601 N. Congress Ave.,Suite 403,,Delray Beach,FL,33445,,US,5612721618,A Primary Care Team Built Around You,http://www.metcare.com,441
10806167,Conviva Care Center Deland,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,929 N. Spring Garden Ave,Suite 170,,Deland,FL,32720,,US,3867389144,A Primary Care Team Built Around You,http://www.metcare.com,440
10806168,Conviva Care Center Everglades,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,349 NW 16th Street,Suite 104,,Belle Glade,FL,33430,,US,5619961990,A Primary Care Team Built Around You,http://www.metcare.com,442
10806169,Conviva Care Center Jupiter,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,550 Heritage Dr.,#100,,Jupiter,FL,33458,,US,5612380928,A Primary Care Team Built Around You,http://www.metcare.com,443
10806170,Conviva Care Center New Smyrna Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1914 State Road 44,Suite B,,New Smyrna Beach,FL,32168,,US,3864283241,A Primary Care Team Built Around You,http://www.metcare.com,444
10806171,Conviva Care Center North Palm Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,840 U.S. Hwy 1,Suite 400,,North Palm Beach,FL,33408,,US,5617752088,A Primary Care Team Built Around You,http://www.metcare.com,445
10806172,Conviva Care Center Orange City,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,2669 Enterprise Rd.,,,Orange City,FL,32763,,US,3867740491,A Primary Care Team Built Around You,http://www.metcare.com,446
10806173,Conviva Care Center Ormond Beach,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,420 S. Nova Rd,Suite 5,,Ormond Beach,FL,32174,,US,3865060111,A Primary Care Team Built Around You,http://www.metcare.com,447
10806174,Conviva Care Center Palm Coast,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,21 Hospital Drive,Suite 125,,Palm Coast,FL,32164,,US,3865867005,A Primary Care Team Built Around You,http://www.metcare.com,448
10806175,Conviva Care Center Pine Island,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,301 NW 84th Ave.,Suite 101,,Plantation,FL,33324,,US,9545811900,A Primary Care Team Built Around You,http://www.metcare.com,449
10806176,Conviva Care Center Port Orange,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,3641 S Clyde Morris Blvd,Suite 100,,Port Orange,FL,32129,,US,3866754411,A Primary Care Team Built Around You,http://www.metcare.com,450
10806177,Conviva Care Center Stuart,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,Cardiology,Dermatology,Urology,,,,,1233 SE Indian St.,Suite 103,,Stuart,FL,34997,,US,7722860552,A Primary Care Team Built Around You,http://www.metcare.com,452
10806178,Conviva Care Center South Daytona,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,711 Beville Road,,,South Daytona,FL,32119,,US,3867608116,A Primary Care Team Built Around You,http://www.metcare.com,451
10806179,Conviva Care Center Wellington,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,12953 Palms West Drive,Ste 102,,Loxahatchee,FL,33470,,US,5617931713,A Primary Care Team Built Around You,http://www.metcare.com,453
10806181,Conviva Care Center Margate - Specialists,,Cardiology,,,,,,,,,,,2131 North State Road 7,,,Margate,FL,33063,,US,9542472168,You Deserve Senior-Focused Primary Care,,455
10806182,Conviva Care Center Plantation - Specialists,,Cardiology,,,,,,,,,,,301 NW 84th Ave.,Suite 302,,Plantation,FL,33324,,US,9542472168,You Deserve Senior-Focused Primary Care,,456
10806183,Conviva Care Center New Braunfels,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1860 S. Seguin Ave,Building E,,New Braunfels,TX,78130,,US,8306267770,You Deserve Senior-Focused Primary Care,https://partnersinprimarycare.com/,457
10806184,Conviva Care Center Greco,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,4360 Greco Drive,,,San Antonio,TX,78222,,US,2106488200,You Deserve Senior-Focused Primary Care,https://partnersinprimarycare.com/,459
10806185,Conviva Care Center Floresville,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,260 HWY 181 N.,,,Floresville,TX,78114,,US,8303938222,You Deserve Senior-Focused Primary Care,https://partnersinprimarycare.com/,458
10806186,Conviva Care Center Live Oak,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,12602 Toepperwein Rd.,Suite 100,,San Antonio,TX,78233,,US,2106540030,You Deserve Senior-Focused Primary Care,https://partnersinprimarycare.com/,460
10806187,RMA Medical Centers Hallandale,,Conviva Care Centers,Family Practice Physician,Internal Medicine,Geriatrician,,,,,,,,1460 E. Hallandale Beach Blvd,,,Hallandale Beach,FL,33009,,US,9544585222,A New Vision in Health Care,https://www.mccigroup.com/,461
